year,world_rank,institution,country
2006,39,"The University of Texas at Austin","United States"
2006,40,"Utrecht University","Netherlands"
2006,41,"Vanderbilt University","United States"
2006,42,"Pennsylvania State University - University Park","United States"
2006,42,"University of California, Davis","United States"
2006,44,"University of California, Irvine","United States"
2006,45,"Pierre and Marie Curie University - Paris 6","France"
2006,46,"Rutgers","United States"
2006,47,"University of Southern California","United States"
2006,48,"Karolinska Institute","Sweden"
2006,48,"University of Pittsburgh","United States"
2006,50,"The University of Manchester","United Kingdom"
2006,51,"University of Munich","Germany"
2006,52,"The University of Edinburgh","United Kingdom"
2006,53,"University of Florida","United States"
2006,54,"Technical University Munich","Germany"
2006,54,"The Australian National University","Australia"
2006,56,"Carnegie Mellon University","United States"
2006,56,"University of Copenhagen","Denmark"
2006,58,"University of Zurich","Switzerland"
2006,59,"University of North Carolina at Chapel Hill","United States"
2006,60,"The Hebrew University of Jerusalem","Israel"
2006,61,"Osaka University","Japan"
2006,62,"McGill University","Canada"
2006,62,"University of Bristol","United Kingdom"
2006,64,"University of Paris Sud (Paris 11)","France"
2006,65,"Uppsala University","Sweden"
2006,66,"The Ohio State University - Columbus","United States"
2006,66,"University of Heidelberg","Germany"
2006,68,"University of Oslo","Norway"
2006,69,"The University of Sheffield","United Kingdom"
2006,70,"Case Western Reserve University","United States"
2006,70,"Moscow State University","Russia"
2006,72,"Leiden University","Netherlands"
2006,73,"Purdue University - West Lafayette","United States"
2006,74,"University of Helsinki","Finland"
2006,74,"University of Rochester","United States"
2006,76,"Tohoku University","Japan"
2006,76,"University of Arizona","United States"
2006,78,"University of Melbourne","Australia"
2006,79,"University of Nottingham","United Kingdom"
2006,80,"Michigan State University","United States"
2006,81,"Boston University","United States"
2006,81,"University of Basel","Switzerland"
2006,83,"King's College London","United Kingdom"
2006,84,"Stockholm University","Sweden"
2006,85,"Brown University","United States"
2006,85,"University of Goettingen","Germany"
2006,87,"Rice University","United States"
2006,88,"Texas A&M University - College Station","United States"
2006,89,"Tokyo Institute of Technology","Japan"
2006,90,"Lund University","Sweden"
2006,90,"McMaster University","Canada"
2006,90,"University of Birmingham","United Kingdom"
2006,93,"University of Freiburg","Germany"
2006,94,"University of Utah","United States"
2006,95,"University of Iowa","United States"
2006,96,"University of Strasbourg","France"
2006,97,"Indiana University Bloomington","United States"
2006,98,"Nagoya University","Japan"
2006,99,"Ecole Normale Superieure - Paris","France"
2006,100,"Arizona State University - Tempe","United States"
2006,100,"University of Roma - La Sapienza","Italy"
2007,1,"Harvard University","United States"
2007,2,"Stanford University","United States"
2007,3,"University of California, Berkeley","United States"
2007,4,"University of Cambridge","United Kingdom"
2007,5,"Massachusetts Institute of Technology (MIT)","United States"
2007,6,"California Institute of Technology","United States"
2007,7,"Columbia University","United States"
2007,8,"Princeton University","United States"
2007,9,"University of Chicago","United States"
2007,10,"University of Oxford","United Kingdom"
2007,11,"Yale University","United States"
2007,12,"Cornell University","United States"
2007,13,"University of California, Los Angeles","United States"
2007,14,"University of California, San Diego","United States"
2007,15,"University of Pennsylvania","United States"
2007,16,"University of Washington","United States"
2007,17,"University of Wisconsin - Madison","United States"
2007,18,"University of California, San Francisco","United States"
2007,19,"The Johns Hopkins University","United States"
2007,20,"The University of Tokyo","Japan"
2007,21,"University of Michigan - Ann Arbor","United States"
2007,22,"Kyoto University","Japan"
2007,23,"The Imperial College of Science","United Kingdom"
2007,23,"University of Toronto","Canada"
2007,25,"University College London","United Kingdom"
2007,26,"University of Illinois at Urbana-Champaign","United States"
2007,27,"Swiss Federal Institute of Technology Zurich","Switzerland"
2007,28,"Washington University in St. Louis","United States"
2007,29,"Northwestern University","United States"
2007,30,"New York University","United States"
2007,30,"Rockefeller University","United States"
2007,32,"Duke University","United States"
2007,33,"University of Minnesota","United States"
2007,34,"University of Colorado at Boulder","United States"
2007,35,"University of California, Santa Barbara","United States"
2007,36,"University of British Columbia","Canada"
2007,37,"University of Maryland, College Park","United States"
2007,38,"The University of Texas at Austin","United States"
2007,39,"Pierre and Marie Curie University - Paris 6","France"
2007,39,"The University of Texas Southwestern Medical Center at Dallas","United States"
2007,41,"Vanderbilt University","United States"
2007,42,"Utrecht University","Netherlands"
2007,43,"Pennsylvania State University - University Park","United States"
2007,43,"University of California, Davis","United States"
2007,45,"University of California, Irvine","United States"
2007,46,"University of Copenhagen","Denmark"
2007,47,"Rutgers","United States"
2007,48,"The University of Manchester","United Kingdom"
2007,49,"University of Pittsburgh","United States"
2007,50,"University of Southern California","United States"
2007,51,"University of Florida","United States"
2007,52,"University of Paris Sud (Paris 11)","France"
2007,53,"Karolinska Institute","Sweden"
2007,53,"The University of Edinburgh","United Kingdom"
2007,53,"University of Munich","Germany"
2007,56,"Technical University Munich","Germany"
2007,57,"The Australian National University","Australia"
2007,58,"University of North Carolina at Chapel Hill","United States"
2007,58,"University of Zurich","Switzerland"
2007,60,"Carnegie Mellon University","United States"
2007,61,"The Ohio State University - Columbus","United States"
2007,62,"University of Bristol","United Kingdom"
2007,63,"McGill University","Canada"
2007,64,"The Hebrew University of Jerusalem","Israel"
2007,65,"University of Heidelberg","Germany"
2007,66,"Uppsala University","Sweden"
2007,67,"Osaka University","Japan"
2007,68,"Purdue University - West Lafayette","United States"
2007,69,"University of Oslo","Norway"
2007,70,"Brown University","United States"
2007,71,"Leiden University","Netherlands"
2007,72,"The University of Sheffield","United Kingdom"
2007,73,"University of Helsinki","Finland"
2007,74,"University of Arizona","United States"
2007,75,"University of Rochester","United States"
2007,76,"Moscow State University","Russia"
2007,76,"Tohoku University","Japan"
2007,78,"Case Western Reserve University","United States"
2007,79,"University of Melbourne","Australia"
2007,80,"Michigan State University","United States"
2007,81,"University of Nottingham","United Kingdom"
2007,82,"University of Basel","Switzerland"
2007,83,"Boston University","United States"
2007,83,"Ecole Normale Superieure - Paris","France"
2007,83,"King's College London","United Kingdom"
2007,86,"Stockholm University","Sweden"
2007,87,"McMaster University","Canada"
2007,87,"Rice University","United States"
2007,87,"University of Goettingen","Germany"
2007,90,"Indiana University Bloomington","United States"
2007,91,"Texas A&M University - College Station","United States"
2007,92,"University of Birmingham","United Kingdom"
2007,93,"University of Utah","United States"
2007,94,"Nagoya University","Japan"
2007,94,"University of Freiburg","Germany"
2007,96,"Arizona State University - Tempe","United States"
2007,97,"Lund University","Sweden"
2007,97,"University of Iowa","United States"
2007,99,"Tokyo Institute of Technology","Japan"
2007,99,"University of Bonn","Germany"
2007,99,"University of Strasbourg","France"
2008,1,"Harvard University","United States"
2008,2,"Stanford University","United States"
2008,3,"University of California, Berkeley","United States"
2008,4,"University of Cambridge","United Kingdom"
2008,5,"Massachusetts Institute of Technology (MIT)","United States"
2008,6,"California Institute of Technology","United States"
2008,7,"Columbia University","United States"
2008,8,"Princeton University","United States"
2008,9,"University of Chicago","United States"
2008,10,"University of Oxford","United Kingdom"
2008,11,"Yale University","United States"
2008,12,"Cornell University","United States"
2008,13,"University of California, Los Angeles","United States"
2008,14,"University of California, San Diego","United States"
2008,15,"University of Pennsylvania","United States"
2008,16,"University of Washington","United States"
2008,17,"University of Wisconsin - Madison","United States"
2008,18,"University of California, San Francisco","United States"
2008,19,"The University of Tokyo","Japan"
2008,20,"The Johns Hopkins University","United States"
2008,21,"University of Michigan - Ann Arbor","United States"
2008,22,"University College London","United Kingdom"
2008,23,"Kyoto University","Japan"
2008,24,"Swiss Federal Institute of Technology Zurich","Switzerland"
2008,24,"University of Toronto","Canada"
2008,26,"University of Illinois at Urbana-Champaign","United States"
2008,27,"The Imperial College of Science, Technology and Medicine","United Kingdom"
2008,28,"University of Minnesota, Twin Cities","United States"
2008,29,"Washington University in St. Louis","United States"
2008,30,"Northwestern University","United States"
2008,31,"New York University","United States"
2008,32,"Duke University","United States"
2008,32,"Rockefeller University","United States"
2008,34,"University of Colorado at Boulder","United States"
2008,35,"University of British Columbia","Canada"
2008,36,"University of California, Santa Barbara","United States"
2008,37,"University of Maryland, College Park","United States"
2008,38,"University of North Carolina at Chapel Hill","United States"
2008,39,"The University of Texas at Austin","United States"
2008,40,"The University of Manchester","United Kingdom"
2008,41,"The University of Texas Southwestern Medical Center at Dallas","United States"
2008,42,"Pennsylvania State University - University Park","United States"
2008,42,"Pierre and Marie Curie University - Paris 6","France"
2008,42,"Vanderbilt University","United States"
2008,45,"University of Copenhagen","Denmark"
2008,46,"University of California, Irvine","United States"
2008,47,"Utrecht University","Netherlands"
2008,48,"University of California, Davis","United States"
2008,49,"University of Paris Sud (Paris 11)","France"
2008,50,"University of Southern California","United States"
2008,51,"Karolinska Institute","Sweden"
2008,52,"University of Pittsburgh","United States"
2008,53,"University of Zurich","Switzerland"
2008,54,"Rutgers, The State University of New Jersey","United States"
2008,55,"The University of Edinburgh","United Kingdom"
2008,55,"University of Munich","Germany"
2008,57,"Technical University Munich","Germany"
2008,58,"University of Florida","United States"
2008,59,"The Australian National University","Australia"
2008,60,"McGill University","Canada"
2008,61,"University of Bristol","United Kingdom"
2008,62,"Carnegie Mellon University","United States"
2008,62,"The Ohio State University - Columbus","United States"
2008,64,"University of Oslo","Norway"
2008,65,"Purdue University - West Lafayette","United States"
2008,65,"The Hebrew University of Jerusalem","Israel"
2008,67,"University of Heidelberg","Germany"
2008,68,"Osaka University","Japan"
2008,68,"University of Helsinki","Finland"
2008,70,"Moscow State University","Russia"
2008,71,"Brown University","United States"
2008,71,"Uppsala University","Sweden"
2008,73,"Ecole Normale Superieure - Paris","France"
2008,73,"University of Melbourne","Australia"
2008,73,"University of Rochester","United States"
2008,76,"Leiden University","Netherlands"
2008,77,"The University of Sheffield","United Kingdom"
2008,77,"University of Arizona","United States"
2008,79,"Tohoku University","Japan"
2008,79,"University of Utah","United States"
2008,81,"King's College London","United Kingdom"
2008,82,"University of Nottingham","United Kingdom"
2008,83,"Boston University","United States"
2008,83,"Case Western Reserve University","United States"
2008,83,"Michigan State University","United States"
2008,86,"Stockholm University","Sweden"
2008,87,"University of Basel","Switzerland"
2008,88,"Texas A&M University - College Station","United States"
2008,89,"McMaster University","Canada"
2008,90,"University of Goettingen","Germany"
2008,91,"University of Birmingham","United Kingdom"
2008,92,"Indiana University Bloomington","United States"
2008,93,"Aarhus University","Denmark"
2008,93,"Arizona State University - Tempe","United States"
2008,95,"University of Virginia","United States"
2008,96,"University of Freiburg","Germany"
2008,97,"Lund University","Sweden"
2008,97,"Rice University","United States"
2008,97,"University of Bonn","Germany"
2008,97,"University of Sydney","Australia"
2009,1,"Harvard University","United States"
2009,2,"Stanford University","United States"
